1	8	4	6	0	4	9	8	0	0	10	0	0	0	0	9	0	2	0	0	0	0	0	7	0	4	0	0	0	0	0	0	0
2	8	7	8	0	0	4	3	0	0	0	0	7	5	0	0	8	0	8	0	0	0	0	0	3	0	0	0	0	0	0	0	0
3	4	7	9	3	0	0	5	0	0	8	0	0	0	2	9	0	0	0	5	0	0	0	0	0	0	0	0	7	0	0	0	0
4	8	6	6	6	6	7	0	8	4	7	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	8	8	7	10	4	0	8	0	0	6	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	5	8	5	8	5	4	3	0	0	0	0	0	9	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	6	0
7	6	8	7	0	0	0	9	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	0	8	0	0
8	7	4	6	9	0	0	0	6	6	5	0	0	8	0	0	1	0	0	0	0	0	0	0	10	0	7	0	0	0	0	0	0
9	2	5	0	10	7	0	0	6	8	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0
10	7	7	5	8	8	0	7	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	7	7	5	6	5	0	10	3	0	0	0	0	9	0	7	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0
12	7	6	7	6	8	2	7	0	0	0	4	7	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
13	8	6	8	6	10	1	10	10	0	8	0	3	8	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
14	8	7	8	8	5	7	5	5	0	0	0	6	0	0	0	0	9	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
15	8	7	8	9	0	0	9	0	8	0	6	0	0	0	0	0	10	0	0	0	0	6	0	0	0	0	0	0	0	0	8	0
16	6	7	5	7	8	0	0	8	7	0	2	0	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	8	6	5	5	7	1	6	7	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	6	7	4	0	6	5	0	0	1	0	0	0	8	0	0	0	0	7	6	0	0	0	0	0	0	0	0	0	2	0	0	0
19	8	9	10	4	0	0	0	0	7	3	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	8	0
